Alfredo Zitarrosa	associated with musician	Ciro Pérez
Abilene Regional Airport	serves	Texas
Steven T. Seagle	created	Baymax
Ayam Penyet	is from	Malaysia
Antares rocket	made first flight on	October 28th, 2014
Buenos Aires	governed by	Buenos Aires City Legislature
AMC Matador	assembled in	Thames, New Zealand
Elizabeth II	is leader in	United Kingdom
Brian Robertson	plays for	Suburban Legends
Asilomar Conference Grounds	added to National Register of Historic Places on	February 27th 1987
Agnes Kant	is member of	Netherlands Socialist Party
Asilomar Conference Grounds	located in	Pacific Grove, California
Andrews County Airport	is in	Texas
Abradab	is associated with	Magik
Christian Burns	genre	house music
Henry Clay	leader of	Whig Party
Alex Day	began active career in	2006
Asilomar Conference Grounds	architectural style	Arts and Crafts Movement
(66063) 1998 RO1	escape velocity	0.0999 km per sec
United States	language spoken	English
Ariane 5	maiden flight was on	2nd March 2004
Accademia di Architettura di Mendrisio	dean is	Mario Botta
Alan Shepard	went to school at	NWC
Agnes Kant	is member of	Netherlands Socialist Party
Julia Morgan	designed	Asilomar Conference Grounds
Baku Turkish Martyrs' Memorial	is located in	Azerbaijan
The Secret Scripture	followed	A Long Long Way
United States	capital is	Washington D.C.
Abdul Taib Mahmud	member of	Parti Pesaka Bumiputera Bersatu
United States	inhabitants are called	Americans
Andrew White	began in	2003
Alvah Sabin	was	3rd Congressional District representative
Andrew Rayel	is associated with	Armin van Buuren
Trane	is a	subsidiary company
lemon	belongs to order	Rosids
Abradab	is associated with	rapper Magik
Adolfo Suárez Madrid–Barajas Airport	runway length	4,349 kilometers
Asilomar Conference Grounds	National Register of Historic Places reference number	87000823
Democratic Party	in	U.S.A.
Alan Shepard	was born in	New Hampshire
Agremiação Sportiva Arapiraquense	play in	Campeonato Brasileiro Série C league
Agustin Barboza	was born in	Asuncion, Paraguay
Appleton International Airport	runway measures length	2439 units
fried chicken	is	smashed
Arem-arem	commonly served in	Indonesia
United States Navy Distinguished Service Medal	is higher than	department of commerce gold medal
Black metal	is an element of	death metal
Alan Shepard	was born in	New Hampshire
USAF	is equipped with	Boeing C-17 Globemaster III transport aircraft
aircraft found on USAF carriers	include	Lockheed C-130 Hercules
1097 Vicia	escape velocity	0.0112 km per sec
Brian Robertson	is member of	Suburban Legends
Asilomar Conference Grounds	has	Arts and Crafts movement style architecture
Aleksandr Prudnikov	later played for	FC Dynamo Moscow
Julia Morgan	known for work in	San Francisco's Chinatown
Appleton International Airport	elevation	2801 meters
Albany	is a city in	Oregon, U.S.
A Long Long Way	published by	Faber and Faber
Italy	people are	Italian
Bananaman	created by	John Geering
Appleton International Airport	elevation	280 metres
Aaron Turner	has played with	House of Low Culture
Adisham Hall	constructed between	1927 and 1931
Delta II	from	United States
lemon	belongs to family	rutaceae
Delta II	comparable to	Antares
107 Camilla	apoapsis	560937000.0 kms
Paraguay	is led by	Juan Afara
Agustin Barboza	died in	Asuncion, Gran Asunción
Abilene Regional Airport	is above sea level	546 metres
Hypermarcas	is a	pharmaceutical company
Alberto Teisaire	died in	Buenos Aires
ALCO RS-3	is long	17068.8mm
Madison County	is located in	Indiana
English	is spoken in	Great Britain
Elliot See	attended	University of Texas at Austin
ALCO RS-3	built by	American Locomotive Company
(66391) 1999 KW4	has escape velocity	zero
Drum and bass	derives sounds from	hip hop music
Alvah Sabin	died in	Sycamore, Illinois
Icolo e Bengo	is located in	Luanda Province, Angola
The United States	majority language is	English
Adolfo Suárez Madrid–Barajas Airport	elevation	610 metres
Ayam penyet	is a	fried chicken dish
Andrew Rayel	is associated with	Alexander Popov
Alan Shepard	was born in	New Hampshire
University of Texas at Austin	will be part of	Big 12 Conference competition
Switzerland	leader is	Johann Schneider-Ammann
Joko Widodo	is leader of	Indonesia
Appleton International Airport	is elevated above sea level	2801 meters
(66063) 1998 RO1	has epoch date	13 January 2016
Arlington	is part of	Tarrant County, Texas
Alessio Romagnoli	plays for club	A.C. Milan
Ardmore Airport	third runway has surface	poaceae
United States Air Force	is operating organisation for	Al Asad airbase
Neptun Werft	HQ is in	Rostock, Germany
Alessio Romagnoli	is presently with	AC Milan
Montevideo	is in	Uruguay
University of Texas at Austin	location	Austin
Abdul Taib Mahmud	residence	Demak Jaya, Jalan Bako, Kuching, Sarawak
Andra	is a	rhythm and blues singer
Elliot See	was born in	Dallas
Minotaur V	launched at	Mid-Atlantic Regional Spaceport Launch Pad 0
Cornell University	nickname is	Cornell Big Red
Alvah Sabin	belongs to	Whig Party of United States
Big Hero 6	starred	Scott Adsit
Acharya Institute of Technology	has	700 Postgraduate Students
Adisham Hall	style of architecture	Tudor and Jacobean
Amatriciana	includes	tomatoes
Acharya Institute of Technology campus	was given status	Technical Campus
Karnataka state	west of	Arabian Sea
Bionico	is found in	Guadalajara
Halimah Yacob	leads	Singapore
AIDAstella	built by	Meyer Werft
Apollo 12 mission	operated by	NASA
Imst	is in	Austria
Alan Bean	was crewman on	Apollo 12
Casey Ribicoff	born in	Chicago
AIDS journal	published by	Lippincott, Williams & Wilkins
Runway 4/22	at	Atlantic City International Airport
Caterpillar Inc.	located in	Illinois
Native Americans	one of several ethnic groups in	U.S.
Antares rocket	manufactured at	Yuzhnoye Design Office
Singapore	language spoken	Standard Chinese
Apollo 12	operated by	NASA
Argentina	language spoken	Spanish
English	is also spoken in	Great Britain
Gale Brewer	is leader of	Manhattan
Trane	founded in	La Crosse, Wisconsin
Alfred Worden	was backup pilot on	Apollo 12
Alan Frew	is a	singer
Washington State	is in	US
Agremiação Sportiva Arapiraquense	ground is	Estadio Municipal Coaracy da Mata Fonseca
Chinese	is spoken in some parts of	California
Felipe VI	is leader of	Spain
U.S.	ethnic group	Asian Americans
James Craig Watson	died from	peritonitis
Minotaur IV rocket	launched from	Mid-Atlantic Regional Spaceport Launch Pad 0
Frank Borman	was commander of	Apollo 8
Hypermarcas	is located in	Brazil
United Kingdom	led by	Elizabeth II
Al Asad airbase	operated by	United States Air Force
Igorot people	are ethnic group from	Philippines
Birmingham	led by	Andrew Mitchell
Turkmenistan Airlines	operates	Ashgabat International Airport
Twilight	is a	black metal band
Antioch	total area	75.324 square km
Elliot See	student at	University of Texas at Austin
Bakso	also popular in	neighbouring Southeast Asian countries
Ashgabat International Airport	runway name	12R/30L
Ardmore Airport (New Zealand)	runway length	1411 m
Italy	leaders are	Pietro Grasso
Netherlands	leader is	Mark Rutte
Andrew White	began career in	2003
Italy	leaders include	Pietro Grasso
BBC	is based in	Broadcasting House
Baku Turkish Martyrs' Memorial	designed by	Hilmi Güner
France	leaders are	Claude Bartolone
US	inhabitants are	Americans
Asuncion	is part of	Gran Asunción
Vila Nova Futebol Clube	were champions at	Campeonato Brasileiro Série C.
Uttar Pradesh	leader is	Ram Naik
Lockheed AC-130	deployed on	USAF aircraft carriers
Aston Martin Virage	related to	Aston Martin DBS
Cornell University	affiliated with	Association of American Universities
GMA New Media	is a maker of	mobile applications
Adams County	is located east of	Franklin County
Trane	employs	29,000 people
AIDAstella	has beam of	32.2m
Bananaman	TV character created by	John Geering
Lee County, Alabama	is in	United States
Abradab	played with	Kaliber 44
Bananaman	final broadcast being	15 April 1986
Julia Morgan	was an	architect
Alan Shepard	died in	California
Aleksandr Prudnikov	club is	FC Dynamo Moscow
Italy	capital is	Rome
Madrid	part of	community of Madrid
Alan Shepard	served as crew member of	Apollo 14
Antares rocket	is in diameter	3.9 m
Aaron Turner	is a	Black metal electric guitar player
Malaysia	is home to	Chinese
Above the Veil	is sequel to	Castle
Texas	largest city is	Houston
Delta II rocket	from	United States
107 Camilla	periapsis	479343000.0 kilometres
Adisham Hall	location	St Benedict's Monastery, Adisham, Haputhale, Sri Lanka
Lee County	is in	Auburn, Alabama
Campeonato Brasileiro Série C	from	Brazil
Ajoblanco	includes main ingredients	garlic
Mexico	language spoken	Spanish
Twilight	is a	black metal band
Amatriciana sauce	main ingredients are	tomatoes
A Long Long Way	novel written in	Ireland
India	leader is	Narendra Modi
Antares rocket	final flight on	18th of September, 2013
Vermont	state represented by	Alvah Sabin
Indonesia	main language is	Indonesian
School of Business and Social Sciences at Aarhus University	affiliated with	European University Association
Alaa Abdul-Zahra	clubs are	Al Kharaitiyat SC
Chinabank	was founded on	16th of August, 1920
Ciro Perez	is musician associated with	Alfredo Zitarrosa
Asser Levy Public Baths	National Register of Historic Places Reference Number	80002709
